experiment,episode_key,time_s,failure_probability,mttf_h,joint_travel_rad,move_time_s
pi05_standard,demo_000097,32.172843901,6.539051233826241e-07,13666.964399117764,5.105226139,12.112521846
pi05_standard,demo_000098,34.706837568999994,7.284718463551203e-07,13234.25822696423,4.997049315899999,15.262218588
pi05_standard,demo_000099,26.029230291999998,5.504954606994683e-07,13134.240508552446,5.1038903928,7.573211992
smolvla_standard,demo_000000,26.176767271000003,5.533479999694643e-07,13140.594932141545,4.363402815,8.085718136
smolvla_standard,demo_000001,23.991598005000004,5.234880350505952e-07,12730.626822842965,4.7162153134,7.294448162
smolvla_standard,demo_000002,27.242429552999997,5.701793222776483e-07,13271.858595570005,4.5154323891,9.245558598999999
smolvla_standard,demo_000003,29.406164195,6.169754052900197e-07,13239.387449036823,5.666262603100001,9.680657499999999
smolvla_standard,demo_000005,28.403191885,6.010158790004983e-07,13127.395165789785,5.5801335935,10.667064285
smolvla_standard,demo_000006,27.833591227,5.768828180093509e-07,13402.290088691101,4.4486896552,9.063766661
smolvla_standard,demo_000007,25.203067908,5.279955088125732e-07,13259.299151266885,4.8202611031,7.522413309999999
smolvla_standard,demo_000008,25.189394845,5.362994075749898e-07,13046.91385119643,4.415959216600001,9.712654195
smolvla_standard,demo_000009,30.287985537999997,6.289141759363904e-07,13377.543462490226,5.6858361747999995,9.339714698
smolvla_standard,demo_000010,29.110953663000004,6.298842484535563e-07,12837.872057967394,4.7011399417,9.729531319
smolvla_standard,demo_000011,27.617242192,5.879846541444525e-07,13047.030535051372,5.5277656331,11.053935867
smolvla_standard,demo_000012,27.346261905,5.551065139083077e-07,13684.187714122276,4.3985758135,7.600376356
smolvla_standard,demo_000013,25.660181743,5.525811445797202e-07,12899.14857819366,4.7473501747,7.422936589
smolvla_standard,demo_000014,27.760871512,5.889152362067477e-07,13094.160849812219,4.6546943803000005,9.127310275
smolvla_standard,demo_000015,25.961077716000002,5.331403211160024e-07,13526.286150257762,5.382284963000001,8.698380945
smolvla_standard,demo_000017,26.156984046999998,5.645321423334927e-07,12870.52801032211,5.3846950974,9.741546572
smolvla_standard,demo_000018,29.678837772,6.110520335574609e-07,13491.68084066724,4.6827250553,9.403848922
smolvla_standard,demo_000019,26.670739494,5.610820444882085e-07,13204.01643816062,5.1904594931000005,8.640066573
smolvla_standard,demo_000020,27.159216565999998,5.715842856887241e-07,13198.796306624676,4.5278407745,11.511997312000002
smolvla_standard,demo_000021,34.766951343,7.327430476763826e-07,13179.904134016155,6.842837615299999,9.178351675
smolvla_standard,demo_000023,28.552948096,5.986474208048929e-07,13248.820033572514,5.542501178399999,10.311478731000001
smolvla_standard,demo_000024,26.994430170999998,5.6438954297208e-07,13285.94903408763,4.3128662997000005,7.216807395
smolvla_standard,demo_000025,27.134577690999997,5.763779937031884e-07,13077.147974796413,5.355051866,9.929860451
smolvla_standard,demo_000026,27.624193382999998,5.979296255766655e-07,12833.256808148813,4.6092489619000006,8.003058508999999
smolvla_standard,demo_000027,26.830092727,5.760680110606388e-07,12937.363764001737,5.0686736351,8.807362786999999
smolvla_standard,demo_000029,26.407479408999997,5.585490692297939e-07,13132.970955347719,5.499674484700001,10.59250656
smolvla_standard,demo_000030,29.879031284,6.293669597541923e-07,13187.422902695615,4.952464891099999,9.976236352
smolvla_standard,demo_000031,25.983051121,5.471588777137983e-07,13190.889295608693,5.0121127336999995,8.016287752
smolvla_standard,demo_000032,26.214380578,5.594956653760312e-07,13014.882298392664,4.427359855300001,9.133276155
smolvla_standard,demo_000033,27.240299083,5.837421110136082e-07,12962.483842651125,5.080049482300001,7.802678198000001
smolvla_standard,demo_000034,29.018477773,6.035312507760379e-07,13355.871314094084,4.375262502399998,10.544410989000001
smolvla_standard,demo_000035,28.866250872,6.089613232848665e-07,13167.339565234306,4.9976731298,9.77353572
smolvla_standard,demo_000036,27.971044585999998,5.914645042218849e-07,13136.43020018273,4.727109915900001,8.989982416
smolvla_standard,demo_000037,26.757046742000004,5.595282197183053e-07,13283.531736741888,5.1167510991,9.385944348
smolvla_standard,demo_000038,27.708189060000002,5.789497747570713e-07,13294.274028698632,4.512005343799999,8.297346241
smolvla_standard,demo_000039,29.222516506,6.133220307973091e-07,13235.075137733136,4.8675756166,8.668453358
smolvla_standard,demo_000040,26.486987535999997,5.620697318531428e-07,13090.002917636408,5.0971182237,8.899888745
smolvla_standard,demo_000041,27.316356451,5.90499062737744e-07,12849.934871549827,5.031171334,9.870897638
smolvla_standard,demo_000042,29.814789605,6.309493808854148e-07,13126.066072277623,5.0177987826,11.262639447
